PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
PATRICK TAYLOR,RB,346.0,3.0,0.0,0.0,0.3,0.0,2.8,4.3,0.1,20.3,326.0,26.8,0.0,0.0,369.3,3.3,359.0,29.8,491.0,9.5,16.0,382.0,3.0,0.0,25.0,467.0,39.0,1.0,183.0,14.3,SF,16.0,359.0,18,17,21,4,500.0,500
PAYNE DURHAM,TE,358.0,1.5,0.0,0.0,0.7,0.1,7.2,0.0,0.0,0.0,350.0,23.5,0.0,0.0,363.0,2.2,360.0,34.5,500.0,3.0,16.0,366.0,11.0,2.0,115.0,487.0,0.0,0.0,0.0,8.0,TB,16.0,366.0,24,20,22,2,500.0,500
PHIL MAFAH,RB,307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,310.1,0.0,174.0,0.0,322.0,22.8,13.0,353.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,24.7,DAL,13.0,363.0,21,25,12,5,500.0,500
PHILADELPHIA EAGLES,DEF,162.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,135.0,0.0,0.0,163.0,7.9,150.0,135.0,167.0,7.5,10.0,187.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,6.9,PHI,10.0,187.0,13,16,9,0,162.5,119
PIERRE STRONG,RB,352.2,1.6,0.0,0.0,1.1,0.0,8.0,2.0,0.0,8.3,331.0,21.2,0.0,0.0,356.4,2.7,326.0,35.2,433.0,18.1,15.0,383.0,14.0,0.0,104.0,445.0,26.0,0.0,108.0,10.6,CLE,15.0,359.0,27,18,31,4,500.0,500
PITTSBURGH STEELERS,DEF,168.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,146.0,0.0,0.0,169.3,8.6,150.0,146.0,175.0,9.7,10.0,219.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,9.9,PIT,10.0,219.0,9,1,30,0,174.0,83
PUKA NACUA,WR,8.9,11.6,0.0,0.0,7.2,0.3,90.0,1.0,0.1,4.2,6.0,127.6,0.0,0.0,7.0,18.8,4.0,206.6,6.0,2.0,2.0,15.0,79.0,3.0,990.0,8.0,11.0,1.0,46.0,2.7,LAR,2.0,21.0,25,23,31,1,8.5,9
QUENTIN JOHNSTON,WR,162.5,8.0,0.0,0.0,3.7,0.5,47.4,0.2,0.0,0.4,114.0,119.7,0.0,0.0,164.0,11.6,120.0,174.7,163.0,24.0,10.0,261.0,55.0,8.0,711.0,162.0,3.0,0.0,6.0,23.2,LAC,10.0,261.0,15,12,13,3,184.5,196
QUINSHON JUDKINS,RB,101.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,0.0,0.0,0.0,117.1,0.0,57.0,0.0,122.0,34.6,9.0,250.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,32.8,CLE,8.0,232.0,27,18,31,2,78.5,138
RACHAAD WHITE,RB,126.0,9.3,0.0,0.0,3.2,0.4,24.6,9.0,0.2,38.3,87.0,148.6,0.0,0.0,121.9,12.5,85.0,199.6,124.0,17.6,9.0,161.0,51.0,6.0,393.0,125.0,144.0,3.0,613.0,16.6,TB,9.0,167.0,12,16,4,2,123.5,136
RAHEEM MOSTERT,RB,243.2,4.0,0.0,0.0,1.5,0.0,12.4,6.5,0.2,21.4,156.0,51.9,0.0,0.0,251.7,5.5,147.0,70.9,249.0,36.6,12.0,326.0,19.0,0.0,161.0,238.0,85.0,2.0,278.0,38.5,LV,12.0,317.0,29,32,11,2,500.0,500
RAHEIM SANDERS,RB,307.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,271.0,0.0,0.0,0.0,315.5,0.0,262.0,0.0,330.0,16.1,13.0,357.0,0.0,0.0,0.0,324.0,0.0,0.0,0.0,13.8,LAC,13.0,353.0,22,23,20,0,500.0,500
RASHEE RICE,WR,64.2,10.2,0.0,0.0,6.0,0.5,72.0,0.3,0.0,0.3,32.0,40.9,0.0,0.0,52.2,16.2,25.0,64.9,49.0,18.6,6.0,90.0,24.0,2.0,288.0,62.0,1.0,0.0,1.0,20.6,KC,6.0,109.0,12,10,15,1,47.0,58
