PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP,AVG_TGT,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,TGT,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_SACK,AVG_YDS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,SACK,YDS,AVG_BLK KICK,AVG_DEF TD,AVG_FUMR,AVG_INT,AVG_PTS VS.,AVG_RET TD,AVG_SAFE,BLK KICK,DEF TD,FUMR,INT,PTS VS.,RET TD,SAFE,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_XPA,AVG_XPM,XPA,XPM
PAT BRYANT,WR,238.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168.0,0.0,0.0,0.0,234.7,0.0,167.0,0.0,237.0,38.7,12.0,376.0,0.0,0.0,0.0,241.0,0.0,0.0,0.0,36.8,DEN,12.0,339.0,9,6,19,4.0,500.0,500,0.0,86.5,64.0,85.0,12.6,8.0,121.0,86.4,65.0,86.0,12.3,8.0,123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAT FREIERMUTH,TE,202.0,6.1,0.0,0.0,3.8,0.4,38.4,0.0,0.0,0.0,131.0,103.3,0.0,0.0,191.6,9.9,123.0,168.3,179.0,42.3,10.0,299.0,65.0,7.0,653.0,186.0,0.0,0.0,0.0,36.1,PIT,11.0,299.0,8,9,5,1.0,192.0,200,4.6,24.1,16.0,22.0,4.5,4.0,38.0,22.9,15.0,21.0,5.0,4.0,38.0,78.0,6.0,50.0,31.0,0.0,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,21.1,4.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRICK MAHOMES,QB,63.8,18.3,1.6,245.5,0.0,0.0,0.0,3.6,0.1,19.2,53.0,293.0,26.0,3928.0,63.4,18.4,53.0,294.0,58.0,8.5,6.0,97.0,0.0,0.0,0.0,61.0,58.0,2.0,307.0,9.7,KC,6.0,104.0,11,3,26,1.0,59.0,46,,7.0,5.0,6.0,1.5,2.0,13.0,,,,,,,,6.0,31.0,31.0,6.0,31.0,31.0,9.0,10.8,2.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,36.3,24.5,0.7,67%,2.3,245.5,581.0,392.0,11.0,67%,36.0,3928.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PATRICK TAYLOR,RB,346.0,3.0,0.0,0.0,0.3,0.0,2.8,4.3,0.1,20.3,326.0,26.8,0.0,0.0,369.3,3.3,359.0,29.8,491.0,9.5,16.0,382.0,3.0,0.0,25.0,467.0,39.0,1.0,183.0,14.3,SF,16.0,359.0,18,17,21,4.0,500.0,500,1.2,116.2,105.0,130.0,9.9,10.0,133.0,120.2,110.0,133.0,9.0,10.0,133.0,11.0,0.0,88.0,0.0,0.0,88.0,0.0,12.0,12.5,5.0,8.9,3.0,12.5,1.0,1.3,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PAYNE DURHAM,TE,358.0,1.5,0.0,0.0,0.7,0.1,7.2,0.0,0.0,0.0,350.0,23.5,0.0,0.0,363.0,2.2,360.0,34.5,500.0,3.0,16.0,366.0,11.0,2.0,115.0,487.0,0.0,0.0,0.0,8.0,TB,16.0,366.0,24,20,22,2.0,500.0,500,0.9,68.5,54.0,64.0,8.9,8.0,87.0,71.5,57.0,64.0,8.0,8.0,87.0,14.0,0.0,93.0,7.0,0.0,93.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.6,2.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHIL MAFAH,RB,307.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,310.1,0.0,174.0,0.0,322.0,22.8,13.0,353.0,0.0,0.0,0.0,318.0,0.0,0.0,0.0,24.7,DAL,13.0,363.0,21,25,12,5.0,500.0,500,0.0,96.1,77.0,96.0,14.0,8.0,160.0,95.8,80.0,96.0,13.0,8.0,160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHILADELPHIA EAGLES,DEF,162.7,7.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,135.0,0.0,0.0,163.0,7.9,150.0,135.0,167.0,7.5,10.0,187.0,0.0,0.0,0.0,170.0,0.0,0.0,0.0,6.9,PHI,10.0,187.0,13,16,9,0.0,162.5,119,,2.8,2.0,2.0,1.1,1.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.3,,,,,,41.0,,0.0,0.1,0.7,0.7,0.0,0.0,0.0,0.0,1.0,13.0,13.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PIERRE STRONG,RB,352.2,1.6,0.0,0.0,1.1,0.0,8.0,2.0,0.0,8.3,331.0,21.2,0.0,0.0,356.4,2.7,326.0,35.2,433.0,18.1,15.0,383.0,14.0,0.0,104.0,445.0,26.0,0.0,108.0,10.6,CLE,15.0,359.0,27,18,31,4.0,500.0,500,1.7,111.8,101.0,117.0,7.8,10.0,124.0,108.8,95.0,117.0,8.7,10.0,127.0,22.0,0.0,85.0,0.0,0.0,85.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.8,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PITTSBURGH STEELERS,DEF,168.9,8.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,146.0,0.0,0.0,169.3,8.6,150.0,146.0,175.0,9.7,10.0,219.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,9.9,PIT,10.0,219.0,9,1,30,0.0,174.0,83,,4.2,1.0,4.0,2.0,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.2,,,,,,40.0,,0.0,0.1,0.9,0.9,0.0,0.0,0.0,0.0,1.0,16.0,17.0,0.0,0.0,0.0,,,,,,,,,,,,,,
PUKA NACUA,WR,8.9,11.6,0.0,0.0,7.2,0.3,90.0,1.0,0.1,4.2,6.0,127.6,0.0,0.0,7.0,18.8,4.0,206.6,6.0,2.0,2.0,15.0,79.0,3.0,990.0,8.0,11.0,1.0,46.0,2.7,LAR,2.0,21.0,25,23,31,1.0,8.5,9,9.6,5.0,3.0,4.0,1.6,1.0,8.0,4.8,3.0,4.0,1.2,1.0,8.0,106.0,18.0,9.0,73.0,18.0,9.0,73.0,4.0,4.5,1.0,2.4,1.0,4.3,12.0,16.0,3.0,7.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
