,AVG_FAN PTS,AVG_PASS_ATT,AVG_PASS_COMP,AVG_PASS_INT,AVG_PASS_PCT,AVG_PASS_TDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_SACK,AVG_YDS,FAN PTS,PASS_ATT,PASS_COMP,PASS_INT,PASS_PCT,PASS_TDS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,RUSH_ATT,RUSH_TDS,RUSH_YDS,SACK,TEAM,YDS,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
JAMEIS WINSTON,13.0,26.9,16.5,1.1,61%,1.2,2.3,0.1,7.5,2.2,192.8,143.1,296.0,181.0,12.0,61%,13.0,42.7,34,40,8.3,6,72,25.0,1.0,83.0,24.0,NYG,2121.0,5,5,9,8,67,25,8,67,25,2,500.0,500.0,3,6.3,3,9.4,1,7.1,0,0.0,0,0.0
KENNY PICKETT,5.2,8.4,5.0,0.2,60%,0.4,1.8,0.2,3.0,0.8,58.2,26.1,42.0,25.0,1.0,60%,2.0,41.7,34,41,5.6,6,61,9.0,1.0,15.0,4.0,CLE,291.0,15,15,15,0,80,0,0,80,0,2,500.0,500.0,2,1.5,2,3.0,2,5.7,0,0.0,0,0.0
JIMMY GAROPPOLO,20.9,41.0,27.0,1.0,66%,2.0,2.0,0.0,5.0,3.0,334.0,20.9,41.0,27.0,1.0,66%,2.0,41.3,35,42,7.3,6,59,2.0,0.0,5.0,3.0,LAR,334.0,32,32,27,0,0,0,0,0,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
TYROD TAYLOR,10.1,11.0,8.5,0.0,77%,1.5,1.5,0.0,6.5,0.0,59.5,20.1,22.0,17.0,0.0,77%,3.0,43.7,36,43,7.7,6,71,3.0,0.0,13.0,0.0,NYJ,119.0,27,29,16,0,100,0,0,100,0,2,500.0,500.0,1,2.8,1,6.3,0,0.0,0,0.0,0,0.0
JOE MILTON,19.2,29.0,22.0,0.0,76%,1.0,10.0,1.0,16.0,0.0,241.0,19.2,29.0,22.0,0.0,76%,1.0,45.2,37,44,5.9,6,63,10.0,1.0,16.0,0.0,DAL,241.0,14,16,7,0,0,0,0,0,0,2,500.0,500.0,3,4.5,2,6.9,2,11.8,0,0.0,0,0.0
MASON RUDOLPH,13.1,28.5,18.3,1.1,64%,1.1,3.1,0.1,13.3,1.4,191.3,104.8,228.0,146.0,9.0,64%,9.0,46.6,37,45,7.8,6,67,25.0,1.0,106.0,11.0,PIT,1530.0,6,4,13,0,43,14,0,43,14,2,500.0,500.0,4,6.8,1,4.0,0,0.0,0,0.0,0,0.0
MARCUS MARIOTA,15.3,14.7,11.3,0.0,77%,1.3,6.0,0.3,30.7,1.0,121.3,45.8,44.0,34.0,0.0,77%,4.0,46.5,40,46,7.2,6,73,18.0,1.0,92.0,3.0,WAS,364.0,4,9,5,0,50,50,0,50,50,2,500.0,500.0,2,1.6,2,2.9,0,0.0,0,0.0,0,0.0
MALIK WILLIS,7.4,7.7,5.7,0.0,74%,0.4,2.9,0.1,19.7,1.1,78.6,51.8,54.0,40.0,0.0,74%,3.0,46.5,39,47,6.5,7,62,20.0,1.0,138.0,8.0,GB,550.0,31,25,32,0,83,17,0,83,17,2,500.0,500.0,5,5.2,3,5.2,1,3.8,0,0.0,0,0.0
AIDAN OCONNELL,10.8,27.0,17.1,0.4,63%,0.9,2.3,0.1,3.3,1.1,179.1,97.5,243.0,154.0,4.0,63%,8.0,51.5,35,48,11.3,7,72,21.0,1.0,30.0,10.0,LV,1612.0,9,12,4,0,75,13,0,75,13,2,500.0,500.0,2,3.4,1,2.9,1,5.0,0,0.0,0,0.0
ZACH WILSON,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,49.2,37,49,7.1,7,63,0.0,0.0,0.0,0.0,MIA,0.0,19,20,25,0,0,0,0,0,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
MAC JONES,10.4,26.2,17.1,0.8,65%,0.8,2.8,0.1,9.2,1.4,167.2,104.1,262.0,171.0,8.0,65%,8.0,51.4,43,50,6.2,7,64,28.0,1.0,92.0,14.0,SF,1672.0,21,22,23,0,67,22,0,67,22,2,500.0,500.0,2,3.0,2,5.0,2,9.1,0,0.0,0,0.0
JAKE BROWNING,-0.1,0.0,0.0,0.0,NaN%,0.0,0.7,0.0,-0.7,0.0,0.0,-0.2,0.0,0.0,0.0,NaN%,0.0,48.6,43,51,5.2,7,62,2.0,0.0,-2.0,0.0,CIN,0.0,16,11,22,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
GARDNER MINSHEW,10.6,30.6,20.3,1.0,66%,0.9,1.9,0.0,5.8,2.9,201.3,106.3,306.0,203.0,10.0,66%,9.0,50.0,42,52,4.3,7,57,19.0,0.0,58.0,29.0,KC,2013.0,11,3,26,0,70,10,0,70,10,2,500.0,500.0,2,3.4,1,2.9,0,0.0,0,0.0,0,0.0
SAM HOWELL,0.2,14.0,5.0,1.0,36%,0.0,1.0,0.0,2.0,4.0,24.0,0.2,14.0,5.0,1.0,36%,0.0,48.2,40,53,5.7,7,58,1.0,0.0,2.0,4.0,MIN,24.0,22,18,29,0,100,0,0,100,0,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
WILL HOWARD,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,60.6,41,54,14.7,7,96,0.0,0.0,0.0,0.0,PIT,0.0,6,4,13,0,0,0,0,0,0,3,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ANDY DALTON,10.8,26.7,17.7,1.0,66%,1.2,1.8,0.0,5.7,1.2,164.8,65.0,160.0,106.0,6.0,66%,7.0,56.1,46,55,6.8,7,66,11.0,0.0,34.0,7.0,CAR,989.0,10,21,1,0,50,17,0,50,17,2,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
COOPER RUSH,9.5,25.7,15.6,0.4,61%,1.0,2.2,0.0,1.5,1.1,153.7,114.6,308.0,187.0,5.0,61%,12.0,49.7,39,56,5.9,7,61,26.0,0.0,18.0,13.0,BAL,1844.0,13,7,20,0,67,8,0,67,8,2,500.0,500.0,5,9.3,2,7.7,0,0.0,0,0.0,0,0.0
JACOBY BRISSETT,6.6,23.0,13.6,0.1,59%,0.3,2.1,0.0,8.9,2.6,118.0,46.2,161.0,95.0,1.0,59%,2.0,53.2,37,57,10.1,7,67,15.0,0.0,62.0,18.0,ARI,826.0,30,31,12,0,100,0,0,100,0,2,500.0,500.0,3,4.5,1,3.4,1,5.9,0,0.0,0,0.0
JOSHUA DOBBS,10.9,15.7,10.7,0.7,68%,0.7,3.0,0.7,8.0,0.7,120.3,32.8,47.0,32.0,2.0,68%,2.0,58.2,50,58,6.2,7,68,9.0,2.0,24.0,2.0,NE,361.0,25,26,19,0,100,0,0,100,0,2,500.0,500.0,3,3.1,3,5.4,1,4.2,0,0.0,0,0.0
MITCHELL TRUBISKY,1.7,2.9,2.1,0.0,73%,0.2,1.9,0.0,0.1,0.0,19.9,15.3,26.0,19.0,0.0,73%,2.0,60.9,52,59,6.7,7,78,17.0,0.0,1.0,0.0,BUF,179.0,23,24,24,0,100,0,0,100,0,2,500.0,500.0,4,3.6,1,1.7,0,0.0,0,0.0,0,0.0
QUINN EWERS,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,61.5,41,60,12.6,7,78,0.0,0.0,0.0,0.0,MIA,0.0,19,20,25,0,0,0,0,0,0,3,500.0,500.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
