PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER
Justin Tucker,0,13,11,4,9,0.0,0.8,0.6,0.2,0.5,9.6,1.9,1.8,164,1.3,1.0,1.0,1.8,1.0,16.0,BAL,32,31,20,5,30,0,0,0
Tyler Bass,0,5,11,10,2,0.0,0.3,0.6,0.6,0.1,8.6,2.9,2.8,146,3.0,2.0,2.0,1.5,1.0,11.0,BUF,50,48,12,11,13,0,0,0
Harrison Butker,0,7,4,4,3,0.0,0.5,0.3,0.3,0.2,7.8,3.2,2.9,102,3.7,1.0,3.0,1.7,1.0,12.0,KC,41,38,8,6,19,0,0,0
Evan McPherson,1,5,4,9,5,0.1,0.3,0.2,0.5,0.3,7.8,2.6,2.4,132,4.6,2.0,4.0,1.9,1.0,12.0,CIN,45,41,24,27,10,0,0,0
Daniel Carlson,0,9,11,3,11,0.0,0.5,0.6,0.2,0.6,9.5,2.1,2.1,162,5.1,1.0,5.0,3.6,2.0,17.0,LV,36,35,5,10,8,0,0,0
Younghoe Koo,0,9,7,9,7,0.0,0.5,0.4,0.5,0.4,8.9,2.1,1.9,152,7.5,3.0,6.0,3.5,2.0,18.0,ATL,35,33,25,19,26,0,0,0
Jason Sanders,0,5,7,12,2,0.0,0.3,0.4,0.7,0.1,7.9,2.6,2.4,135,9.0,5.0,7.0,3.5,2.0,24.0,MIA,44,41,28,28,16,0,0,0
Jason Myers,0,9,15,4,6,0.0,0.5,0.9,0.2,0.4,9.4,2.5,2.4,159,9.2,4.0,8.0,3.6,2.0,30.0,SEA,42,41,23,15,27,0,0,0
Jake Elliott,0,6,8,1,5,0.0,0.4,0.5,0.1,0.3,7.6,3.3,3.2,122,9.9,4.0,9.0,3.0,2.0,19.0,PHI,53,51,6,13,4,0,0,0
Brandon McManus,0,6,4,10,8,0.0,0.4,0.2,0.6,0.5,7.9,1.6,1.5,135,10.2,5.0,10.0,2.4,2.0,20.0,JAC,27,25,32,22,32,0,0,0
Greg Zuerlein,0,5,10,9,6,0.0,0.3,0.6,0.5,0.4,8.2,1.7,1.6,139,13.3,7.0,11.0,3.9,3.0,23.0,NYJ,29,28,22,17,25,0,0,0
Greg Joseph,0,10,5,7,4,0.0,0.6,0.3,0.4,0.2,7.8,2.7,2.4,133,13.8,6.0,12.0,3.3,3.0,20.0,MIN,46,40,29,32,18,0,0,0
Graham Gano,0,2,9,10,8,0.0,0.1,0.5,0.6,0.5,8.5,2.0,1.9,145,14.2,7.0,13.0,3.5,3.0,23.0,NYG,34,32,26,24,15,0,0,0
Jake Moody,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,14.6,6.0,14.0,6.0,3.0,33.0,SF,0,0,2,3,2,0,0,0
Matt Gay,0,9,8,4,7,0.0,0.5,0.5,0.2,0.4,7.8,1.9,1.8,133,15.5,7.0,15.0,5.0,3.0,31.0,IND,32,31,21,21,11,0,0,0
Wil Lutz,0,6,9,4,4,0.0,0.4,0.5,0.2,0.2,6.7,1.9,1.9,114,17.1,8.0,16.0,3.9,3.0,35.0,NO,33,33,18,29,3,0,0,0
Riley Patterson,0,8,10,10,2,0.0,0.5,0.6,0.6,0.1,8.2,2.2,2.1,140,18.1,6.0,17.0,5.3,3.0,31.0,DET,37,36,3,31,1,0,0,0
Chris Boswell,0,4,4,5,7,0.0,0.3,0.3,0.4,0.6,8.1,1.5,1.5,97,18.9,5.0,18.0,4.5,3.0,28.0,PIT,18,18,17,18,17,0,0,0
Nick Folk,1,9,8,10,4,0.1,0.5,0.5,0.6,0.2,8.6,2.1,1.9,146,17.7,6.0,19.0,9.1,4.0,37.0,NE,35,32,13,20,12,0,0,0
Matt Prater,0,1,10,6,5,0.0,0.1,0.8,0.5,0.4,7.6,1.4,1.3,99,21.4,12.0,20.0,6.1,4.0,33.0,ARI,18,17,14,2,31,0,0,0
