PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH
Cody Parkey,K,309.6,7.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,110.0,0.0,0.0,309.1,7.3,245.0,110.0,350.0,23.8,11.0,353.0,0.0,0.0,0.0,357.0,0.0,0.0,0.0,26.3,CLE,14.0,353.0,19,14,20,0
Cole Beasley,WR,159.6,8.4,0.0,0.0,5.5,0.3,64.5,0.0,0.0,0.0,83.0,125.5,0.0,0.0,148.9,13.8,67.0,207.5,143.0,34.8,7.0,227.0,82.0,4.0,967.0,146.0,0.0,0.0,0.0,25.3,BUF,9.0,223.0,16,16,18,2
Cole Kmet,TE,161.4,2.1,0.0,0.0,1.8,0.1,15.2,0.1,0.0,-0.2,90.0,34.0,0.0,0.0,152.4,3.9,94.0,62.0,144.0,30.5,8.0,258.0,28.0,2.0,243.0,153.0,1.0,0.0,-3.0,25.6,CHI,10.0,267.0,31,31,26,1
Collin Johnson,WR,350.9,2.9,0.0,0.0,1.3,0.1,19.4,0.0,0.0,0.0,262.0,41.2,0.0,0.0,344.3,4.2,243.0,59.2,413.0,39.4,12.0,395.0,18.0,2.0,272.0,408.0,0.0,0.0,0.0,29.8,NYG,15.0,384.0,13,17,12,4
Cooper Kupp,WR,50.1,7.8,0.0,0.0,6.1,0.2,64.9,0.3,0.0,2.2,33.0,116.7,0.0,0.0,40.1,13.9,25.0,208.7,38.0,7.8,4.0,84.0,92.0,3.0,974.0,46.0,4.0,0.0,33.0,8.3,LAR,5.0,79.0,3,5,4,2
Cordarrelle Patterson,WR,294.1,3.0,0.0,0.0,1.3,0.0,8.3,4.0,0.1,14.5,206.0,48.4,0.0,0.0,330.9,4.3,203.0,69.4,376.0,42.6,12.0,379.0,21.0,0.0,132.0,362.0,64.0,1.0,232.0,38.9,ATL,14.0,379.0,8,12,10,3
Corey Davis,WR,110.8,9.0,0.0,0.0,4.6,0.4,70.3,0.0,0.0,0.0,62.0,126.4,0.0,0.0,85.9,13.7,50.0,191.4,81.0,21.8,6.0,183.0,65.0,5.0,984.0,112.0,0.0,0.0,0.0,17.4,NYJ,8.0,157.0,7,10,11,1
Cornell Powell,WR,320.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,201.0,0.0,0.0,0.0,346.9,0.0,265.0,0.0,441.0,55.0,13.0,466.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,55.7,KC,15.0,381.0,26,23,25,6
Courtland Sutton,WR,62.5,6.6,0.0,0.0,3.0,0.0,66.0,0.0,0.0,0.0,35.0,6.6,0.0,0.0,74.1,9.6,45.0,9.6,72.0,13.2,5.0,125.0,3.0,0.0,66.0,60.0,0.0,0.0,0.0,11.3,DEN,6.0,102.0,21,26,8,2
Curtis Samuel,WR,89.5,9.0,0.0,0.0,5.1,0.2,56.7,2.7,0.1,13.3,50.0,135.1,0.0,0.0,106.1,14.1,55.0,212.1,102.0,23.6,6.0,244.0,77.0,3.0,851.0,86.0,41.0,2.0,200.0,22.1,WAS,7.0,243.0,14,25,1,2
