PLAYER NAME,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_TGT,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,PPR_RK,PPR_TIERS,REC,REC_TDS,REC_TGT,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,DEPTH
Marcus Kemp,0.1,0.1,0.0,0.1,1.1,0.0,0.0,0.0,1.1,207.7,152.0,225.0,41.4,12.0,251.0,0.2,2.1,185.1,137.0,191.0,23.0,12.0,220.0,224.0,12.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,KC,26,23,25,0.0,0.0,0.0,7
Marquez Callaway,1.9,1.9,0.0,2.5,19.4,0.0,0.0,0.0,21.3,88.8,45.0,114.0,21.7,9.0,159.0,3.8,42.3,50.8,30.0,51.0,10.0,6.0,76.0,114.0,9.0,21.0,0.0,27.0,213.0,0.0,0.0,0.0,NO,6,11,5,0.0,0.0,0.0,4
Marquez Stevenson,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165.9,126.0,167.0,41.2,11.0,273.0,0.0,0.0,165.7,133.0,168.0,51.3,11.0,344.0,165.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BUF,16,16,18,0.0,0.0,0.0,7
Marquez Valdes-Scantling,6.5,2.1,0.4,3.9,43.1,0.3,0.0,0.8,104.3,77.2,59.0,77.0,7.2,8.0,100.0,8.6,137.3,82.6,64.0,79.0,9.1,8.0,102.0,80.0,8.0,33.0,6.0,63.0,690.0,4.0,0.0,13.0,GB,29,29,19,6.3,68.8,31.3,5
Marquise Brown,7.8,3.6,0.5,6.3,48.1,0.1,0.0,0.1,125.0,44.7,33.0,46.0,7.6,6.0,75.0,11.4,183.0,53.6,37.0,53.0,7.3,6.0,75.0,49.0,6.0,58.0,8.0,100.0,769.0,1.0,0.0,1.0,BAL,15,18,16,0.0,37.5,37.5,1
Marquise Goodwin,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,144.3,88.0,171.0,14.0,11.0,163.0,0.0,0.0,138.3,100.0,148.0,43.8,10.0,338.0,174.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,CHI,12,19,9,0.0,0.0,0.0,4
Marvin Hall,3.5,1.5,0.2,2.7,25.2,0.1,0.0,0.1,42.3,167.0,147.0,205.0,20.0,12.0,187.0,5.0,60.3,183.8,141.0,222.0,43.8,12.0,247.0,209.0,12.0,18.0,2.0,32.0,302.0,1.0,0.0,1.0,FA,33,33,33,0.0,0.0,0.0,0
Marvin Jones Jr.,9.5,4.8,0.6,7.2,61.1,0.0,0.0,0.0,151.8,50.5,25.0,50.0,6.9,6.0,69.0,14.2,227.8,47.2,28.0,45.0,7.1,6.0,62.0,50.0,6.0,76.0,9.0,115.0,978.0,0.0,0.0,0.0,JAC,4,8,3,18.8,31.3,31.3,0
Mecole Hardman,5.4,2.6,0.3,3.9,35.0,0.3,0.0,1.9,87.1,55.6,37.0,53.0,6.9,6.0,75.0,8.0,128.1,58.5,37.0,54.0,8.1,6.0,80.0,54.0,7.0,41.0,4.0,62.0,560.0,4.0,0.0,31.0,KC,26,23,25,0.0,75.0,12.5,2
Michael Gallup,7.1,3.7,0.3,6.6,52.7,0.0,0.0,0.0,114.3,44.0,27.0,43.0,6.5,6.0,67.0,10.8,173.3,47.2,31.0,46.0,6.2,6.0,65.0,45.0,6.0,59.0,5.0,105.0,843.0,0.0,0.0,0.0,DAL,27,21,27,6.3,50.0,18.8,3
Michael Pittman Jr.,4.5,3.1,0.1,4.7,38.7,0.2,0.0,2.0,58.9,49.1,24.0,49.0,7.6,6.0,70.0,7.6,98.9,47.4,32.0,47.0,7.6,6.0,67.0,48.0,6.0,40.0,1.0,61.0,503.0,3.0,0.0,26.0,IND,9,2,31,0.0,0.0,0.0,0
