,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
DONALD PARHAM,3.8,1.9,0.3,20.4,0.0,0.0,0.0,2.9,52.5,44.1,35.0,43.0,7.4,6.0,72.0,5.7,79.5,46.6,38,43,8.8,6,76,27.0,4.0,285.0,0.0,0.0,0.0,LAC,41.0,24,26,13,0,69,23,0,69,23,0,500.0,500,0,0.0,0,0.0,0,0.0,10,13.7,7,15.9
DREW SAMPLE,1.7,1.3,0.1,9.6,0.0,0.0,0.0,1.6,28.3,66.4,54.0,70.0,8.8,7.0,82.0,3.0,50.3,64.2,51,70,9.4,7,78,22.0,2.0,163.0,0.0,0.0,0.0,CIN,27.0,26,23,28,0,88,13,0,88,6,2,500.0,500,0,0.0,0,0.0,0,0.0,3,4.1,0,0.0
DURHAM SMYTHE,2.3,2.2,0.0,22.9,0.0,0.0,0.0,2.7,36.6,62.4,51.0,67.0,6.6,7.0,74.0,4.5,71.6,61.0,51,64,6.2,7,72,35.0,0.0,366.0,0.0,0.0,0.0,MIA,43.0,32,32,26,0,80,0,0,80,7,2,500.0,500,0,0.0,0,0.0,0,0.0,4,6.0,3,6.8
DYLAN PARHAM,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.5,75.0,131.0,1.5,10.0,78.0,0.0,0.0,79.5,79,132,0.5,10,80,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EJ JENKINS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.6,87.0,125.0,24.0,10.0,161.0,0.0,0.0,116.8,88,124,23.5,10,159,0.0,0.0,0.0,0.0,0.0,0.0,PHI,0.0,31,30,24,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ELIJAH HIGGINS,2.0,1.3,0.1,14.8,0.0,0.0,0.0,1.7,22.3,64.7,52.0,76.0,8.3,8.0,78.0,3.3,36.3,63.6,52,79,9.0,8,80,14.0,1.0,163.0,0.0,0.0,0.0,ARI,19.0,11,16,11,0,90,10,0,90,10,2,500.0,500,0,0.0,0,0.0,0,0.0,2,3.4,1,3.8
ERIC SAUBERT,0.1,0.4,0.0,1.5,0.0,0.0,0.0,0.4,1.2,108.8,85.0,117.0,22.9,9.0,150.0,0.5,4.2,103.0,83,112,23.4,9,147,3.0,0.0,12.0,0.0,0.0,0.0,SF,3.0,12,7,22,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ERIC TOMLINSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131.3,117.0,154.0,8.9,10.0,141.0,0.0,0.0,121.3,117,138,6.2,10,132,0.0,0.0,0.0,0.0,0.0,0.0,IND,0.0,21,24,7,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
ERICK ALL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.6,33.0,46.0,10.8,6.0,80.0,0.0,0.0,49.0,33,46,10.1,6,81,0.0,0.0,0.0,0.0,0.0,0.0,CIN,0.0,26,23,28,0,0,0,0,0,0,4,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
EVAN ENGRAM,6.8,6.7,0.2,56.6,0.0,0.0,0.0,8.4,116.3,9.1,5.0,9.0,1.4,2.0,12.0,13.5,230.3,6.3,3,6,1.5,2,11,114.0,4.0,963.0,0.0,0.0,0.0,JAC,143.0,19,10,25,13,31,31,13,25,56,1,69.5,57,0,0.0,0,0.0,0,0.0,9,14.3,4,13.3
