PLAYER NAME,POS,AVG_RK,AVG_FAN PTS,AVG_PASS_TDS,AVG_PASS_YDS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,BEST_RK,FAN PTS,PASS_TDS,PASS_YDS,PPR_AVG_RK,PPR_AVG_FAN PTS,PPR_BEST_RK,PPR_FAN PTS,PPR_RK,PPR_STD.DEV_RK,PPR_TIERS,PPR_WORST_RK,REC,REC_TDS,REC_YDS,RK,RUSH_ATT,RUSH_TDS,RUSH_YDS,STD.DEV_RK,TEAM,TIERS,WORST_RK,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,DEPTH,STANDARD_ADP,PPR_ADP
JAUAN JENNINGS,WR,308.9,2.5,0.0,0.0,1.5,0.1,20.4,0.0,0.0,0.0,231.0,32.5,0.0,0.0,305.0,4.0,231.0,51.5,329.0,32.8,12.0,381.0,19.0,1.0,265.0,332.0,0.0,0.0,0.0,31.0,SF,12.0,383.0,2,3,9,4,500.0,500
JAVON BAKER,WR,238.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.0,0.0,0.0,0.0,234.8,0.0,167.0,0.0,256.0,42.6,10.0,384.0,0.0,0.0,0.0,256.0,0.0,0.0,0.0,43.9,NE,10.0,384.0,25,9,31,6,500.0,500
JAVONTE WILLIAMS,RB,86.0,8.3,0.0,0.0,2.9,0.1,14.3,13.6,0.2,48.4,52.0,132.2,0.0,0.0,81.5,11.2,42.0,179.2,79.0,14.1,6.0,117.0,47.0,2.0,228.0,85.0,217.0,3.0,774.0,15.3,DEN,6.0,119.0,19,18,20,1,77.0,87
JAWHAR JORDAN,RB,325.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,257.0,0.0,0.0,0.0,332.4,0.0,283.0,0.0,366.0,29.8,12.0,393.0,0.0,0.0,0.0,363.0,0.0,0.0,0.0,38.3,HOU,12.0,450.0,2,3,21,0,500.0,500
JAXON SMITH-NJIGBA,WR,109.1,5.1,0.0,0.0,3.7,0.2,36.9,0.0,0.0,0.0,50.0,86.8,0.0,0.0,84.4,8.8,32.0,149.8,83.0,14.3,6.0,127.0,63.0,4.0,628.0,109.0,0.0,0.0,0.0,16.6,SEA,7.0,149.0,3,7,4,2,101.0,96
JAYDEN DANIELS,QB,75.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.0,0.0,0.0,0.0,76.8,0.0,54.0,0.0,74.0,14.9,6.0,128.0,0.0,0.0,0.0,77.0,0.0,0.0,0.0,13.9,WAS,6.0,128.0,13,2,29,1,102.5,107
JAYDEN REED,WR,78.5,9.6,0.0,0.0,4.0,0.5,49.6,0.7,0.1,7.4,47.0,153.2,0.0,0.0,82.9,13.6,47.0,217.2,82.0,15.0,6.0,135.0,64.0,8.0,793.0,78.0,11.0,2.0,119.0,13.4,GB,6.0,131.0,5,5,17,1,80.0,83
JAYLEN WADDLE,WR,31.7,9.0,0.0,0.0,5.1,0.3,72.4,0.2,0.0,0.9,19.0,126.6,0.0,0.0,26.9,14.2,11.0,198.6,21.0,7.3,3.0,44.0,72.0,4.0,1014.0,32.0,3.0,0.0,12.0,6.4,MIA,4.0,50.0,29,12,32,2,38.0,48
JAYLEN WARREN,RB,105.4,8.0,0.0,0.0,3.6,0.0,21.8,8.8,0.2,46.1,74.0,135.4,0.0,0.0,92.1,11.6,64.0,196.4,89.0,15.1,6.0,131.0,61.0,0.0,370.0,103.0,149.0,4.0,784.0,13.6,PIT,7.0,145.0,17,23,4,1,89.0,82
JAYLEN WRIGHT,RB,175.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117.0,0.0,0.0,0.0,179.0,0.0,121.0,0.0,176.0,38.8,9.0,321.0,0.0,0.0,0.0,171.0,0.0,0.0,0.0,38.9,MIA,9.0,319.0,6,5,19,3,141.0,186
JEFFERY WILSON,RB,295.2,2.7,0.0,0.0,1.4,0.0,8.5,4.1,0.0,18.8,237.0,27.3,0.0,0.0,305.5,4.1,241.0,41.3,309.0,35.5,11.0,485.0,14.0,0.0,85.0,306.0,41.0,0.0,188.0,38.5,MIA,11.0,547.0,6,5,19,5,500.0,500
JELANI WOODS,TE,266.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.0,0.0,0.0,0.0,276.7,0.0,172.0,0.0,295.0,36.8,11.0,416.0,0.0,0.0,0.0,287.0,0.0,0.0,0.0,33.9,IND,11.0,371.0,21,24,7,0,500.0,500
JEREMY MCNICHOLS,RB,337.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.0,0.0,0.0,0.0,340.0,0.0,309.0,0.0,474.0,29.9,14.0,386.0,0.0,0.0,0.0,483.0,0.0,0.0,0.0,19.5,WAS,14.0,365.0,16,9,28,3,500.0,500
JEREMY RUCKERT,TE,342.9,1.0,0.0,0.0,1.1,0.0,10.1,0.0,0.0,0.0,258.0,15.1,0.0,0.0,346.4,2.1,304.0,31.1,376.0,20.2,12.0,384.0,16.0,0.0,151.0,374.0,0.0,0.0,0.0,23.8,NYJ,13.0,381.0,28,21,31,2,500.0,500
JERICK MCKINNON,RB,311.3,5.0,0.0,0.0,2.1,0.3,16.0,1.8,0.1,5.0,235.0,59.4,0.0,0.0,311.1,7.0,236.0,84.4,335.0,28.9,12.0,364.0,25.0,4.0,192.0,334.0,21.0,1.0,60.0,31.3,FA,12.0,374.0,33,33,33,0,500.0,500
JERMAINE BURTON,WR,212.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0,0.0,0.0,0.0,211.4,0.0,148.0,0.0,214.0,33.5,10.0,315.0,0.0,0.0,0.0,216.0,0.0,0.0,0.0,34.2,CIN,10.0,317.0,27,27,23,4,500.0,500
