,AVG_FAN PTS,AVG_REC,AVG_REC_TDS,AVG_REC_YDS,AVG_RUSH_ATT,AVG_RUSH_TDS,AVG_RUSH_YDS,AVG_TGT,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,PPR_AVG_FAN PTS,PPR_FAN PTS,PPR_POS_AVG.,PPR_POS_BEST,PPR_POS_RK,PPR_POS_STD.DEV,PPR_POS_TIERS,PPR_POS_WORST,REC,REC_TDS,REC_YDS,RUSH_ATT,RUSH_TDS,RUSH_YDS,TEAM,TGT,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,DEPTH,STANDARD_ADP,PPR_ADP,20_YD_ATT,20_YD_%RUSH,10_YD_ATT,10_YD_%RUSH,5_YD_ATT,5_YD_%RUSH,20_YD_TGT,20_YD_%TGT,10_YD_TGT,10_YD_%TGT
AT PERRY,4.9,1.2,0.4,24.6,0.0,0.0,0.0,1.8,48.6,94.2,74.0,92.0,11.8,8.0,154.0,6.1,60.6,97.5,74,94,11.4,8,159,12.0,4.0,246.0,0.0,0.0,0.0,NO,18.0,15,21,10,0,67,11,0,78,0,4,500.0,500,0,0.0,0,0.0,0,0.0,4,6.2,2,6.1
AUSTIN MACK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247.5,211.0,310.0,36.5,14.0,284.0,0.0,0.0,245.5,211,307,34.5,14,280,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
AUSTIN TRAMMELL,0.1,0.3,0.0,1.9,0.0,0.0,0.0,0.5,0.9,262.4,218.0,298.0,24.1,13.0,288.0,0.3,4.9,251.6,216,277,27.9,13,283,4.0,0.0,29.0,0.0,0.0,0.0,FA,7.0,33,33,33,0,100,0,0,100,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BEN COTTON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,237.0,233.0,291.0,3.3,13.0,241.0,0.0,0.0,256.7,240,306,11.8,14,266,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BEN SKOWRONEK,0.8,0.5,0.1,3.9,0.1,0.0,0.5,0.7,13.5,214.9,179.0,208.0,25.4,12.0,253.0,1.3,21.5,218.3,175,212,24.6,12,253,8.0,1.0,66.0,2.0,0.0,9.0,FA,12.0,33,33,33,0,93,0,0,93,0,0,500.0,500,0,0.0,0,0.0,0,0.0,1,1.4,1,2.4
BJ JOHNSON,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,180.3,176.0,249.0,3.7,12.0,185.0,0.0,0.0,217.3,175,275,30.0,13,241,0.0,0.0,0.0,0.0,0.0,0.0,FA,0.0,33,33,33,0,0,0,0,0,0,0,500.0,500,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
BO MELTON,7.5,4.0,0.3,54.5,0.8,0.0,5.3,6.0,29.9,116.8,93.0,119.0,14.3,9.0,153.0,11.5,45.9,117.7,94,120,14.1,9,153,16.0,1.0,218.0,3.0,0.0,21.0,GB,24.0,5,5,17,0,50,25,0,50,25,5,500.0,500,0,0.0,0,0.0,0,0.0,3,3.3,2,5.4
BRANDIN COOKS,7.5,3.4,0.5,41.1,0.3,0.0,2.2,5.1,119.2,54.9,39.0,55.0,6.0,6.0,70.0,10.8,173.2,56.5,40,57,5.7,6,70,54.0,8.0,657.0,5.0,0.0,35.0,DAL,81.0,1,1,2,7,47,40,7,53,33,2,152.0,182,3,2.9,0,0.0,0,0.0,12,11.5,9,17.6
BRANDON AIYUK,10.9,4.7,0.4,83.9,0.0,0.0,0.0,6.6,174.2,14.0,7.0,12.0,3.8,3.0,22.0,15.6,249.2,17.7,8,18,4.3,3,29,75.0,7.0,1342.0,0.0,0.0,0.0,SF,105.0,2,3,9,20,7,67,13,7,60,2,36.5,41,0,0.0,0,0.0,0,0.0,9,12.9,4,15.4
BRANDON JOHNSON,4.2,1.5,0.3,21.8,0.0,0.0,0.0,2.3,54.4,195.5,161.0,186.0,36.9,11.0,262.0,5.6,73.4,203.9,169,190,34.7,11,262,19.0,4.0,284.0,0.0,0.0,0.0,DEN,30.0,19,28,8,8,75,17,0,75,17,0,500.0,500,0,0.0,0,0.0,0,0.0,6,9.2,3,8.6
