PLAYER NAME,0-19,20-29,30-39,40-49,50+,AVG_0-19,AVG_20-29,AVG_30-39,AVG_40-49,AVG_50+,AVG_FAN PTS,AVG_XPA,AVG_XPM,FAN PTS,POS_AVG.,POS_BEST,POS_RK,POS_STD.DEV,POS_TIERS,POS_WORST,TEAM,XPA,XPM,FULL_SOS,SEASON_SOS,PLAYOFF_SOS,BOOM,BUST,STARTER,PPR_BOOM,PPR_BUST,PPR_STARTER,STANDARD_ADP,PPR_ADP
BRAYDEN NARVESON,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,43.2,38.0,45.0,4.5,6.0,49.0,TEN,0,0,15,12,21,0,0,0,0,0,0,500.0,500
BEAU BLANKENSHIP,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,51.8,43.0,46.0,11.8,6.0,72.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
MASON CROSBY,0,2,2,0,1,0.0,0.7,0.7,0.0,0.3,7.7,2.3,2.0,23,49.0,43.0,47.0,6.8,6.0,60.0,FA,7,6,33,33,33,0,0,0,0,0,0,500.0,500
DREW LOCK,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,41.5,41.0,48.0,0.5,6.0,42.0,CAR,0,0,9,9,20,0,75,0,0,75,0,500.0,500
ANDREW HARRIS,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,46.0,41.0,49.0,5.0,6.0,51.0,SF,0,0,17,28,4,0,0,0,0,0,0,500.0,500
BAILEY HALE,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,48.0,40.0,50.0,8.0,7.0,56.0,GB,0,0,22,19,22,0,0,0,0,0,0,500.0,500
JOHN PARKER ROMO,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.3,45.0,51.0,8.5,7.0,65.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
JACK PODLESNY,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,53.3,47.0,52.0,6.3,7.0,62.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
LUCAS HAVRISIK,0,8,3,2,2,0.0,0.9,0.3,0.2,0.2,7.8,2.4,2.1,70,54.5,46.0,53.0,8.5,7.0,63.0,FA,22,19,33,33,33,0,0,0,0,0,0,500.0,500
JAMES MCCOURT,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,67.3,50.0,54.0,23.1,7.0,100.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
RYAN GRICE-MULLEN,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,54.0,49.0,55.0,5.0,7.0,59.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
JALEN HURD,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,60.7,51.0,56.0,12.3,7.0,78.0,FA,0,0,33,33,33,0,0,0,0,0,0,500.0,500
